name,id
Aaron Judge,592450
Adam Duvall,594807
Adolis Garcia,666969
Alex Bregman,608324
Anthony Rizzo,519203
Anthony Santander,623993
Austin Riley,663586
Bo Bichette,666182
Bobby Witt Jr,677951
Brandon Drury,592273
Brandon Lowe,664040
Bryan Reynolds,668804
Byron Buxton,621439
CJ Cron,543068
Christian Walker,572233
Cody Bellinger,641355
Corey Seager,608369
Dansby Swanson,621020
Daulton Varsho,662139
Eloy Jimenez,650391
Eugenio Suarez,553993
Fernando Tatis Jr,665487
Francisco Lindor,596019
Freddie Freeman,518692
George Springer,543807
Giancarlo Stanton,519317
Hunter Renfroe,592669
Jazz Chisholm Jr,665862
Joc Pederson,592626
Joey Meneses,608841
Jordan Walker,691023
Jorge Soler,624585
Jose Altuve,514888
Jose Ramirez,608070
Juan Soto,665742
Julio Rodriguez,677594
Kris Bryant,592178
Kyle Schwarber,656941
Kyle Tucker,663656
Luis Robert Jr,673357
Manny Machado,592518
Marcus Semien,543760
Matt Chapman,656305
Matt Mervis,670223
Matt Olson,621566
Max Muncy,571970
Michael Harris,671739
Mike Trout,545361
Mookie Betts,605141
Nathaniel Lowe,663993
Nolan Arenado,571448
Oneil Cruz,665833
Ozzie Albies,645277
Paul Goldschmidt,502671
Pete Alonso,624413
Rafael Devers,646240
Rhys Hoskins,656555
Ronald Acuna Jr,660670
Rowdy Tellez,642133
Ryan McMahon,641857
Ryan Mountcastle,663624
Shohei Ohtani,660271
Spencer Steer,668715
Teoscar Hernandez,606192
Trea Turner,607208
Trey Mancini,641820
Tyler O'Neill,641933
Vladimir Guerrero Jr,665489
Willy Adames,642715
Yordan Alvarez,670541
